;borough;neighborhood;zip_code;latitude;longitude;landsqmi;density;median_house_value;median_age;avg_household_size;avg_agi;avg_wage;total_population;nb_positive_covid19;perc_pop_positive_covid19;medical_center;arts_entertainment;nightlife_spot;outdoors_recreation;shop_service;food
105;Brooklyn;Bushwick and Williamsburg;11221;40.691234;-73.92636999999999;1.38;62008.0;745800.0;31.8;2.8;30619.0;32026.0;85571.04;832;0.009722915603222772;12.0;32.0;25.0;25.0;46.0;48.0
106;Brooklyn;Greenpoint;11222;40.726302000000004;-73.94559;1.52;24527.0;851170.0;35.3;2.1;52822.0;52659.0;37281.04;316;0.008476158390431168;35.0;47.0;45.0;42.0;50.0;50.0
107;Brooklyn;Southern Brooklyn;11223;40.598141999999996;-73.97229;2.07;39553.0;787071.0;36.5;3.0;63340.0;48149.0;81874.70999999999;1171;0.014302340735008407;27.0;8.0;17.0;25.0;38.0;43.0
108;Brooklyn;Southern Brooklyn;11224;40.576589;-73.99172;1.54;29743.0;415296.0;46.2;2.4;36387.0;36693.0;45804.22;695;0.015173274427552745;15.0;8.0;2.0;19.0;41.0;40.0
109;Brooklyn;Flatbush;11225;40.662892;-73.95509;0.88;68301.0;792356.0;35.0;2.5;38637.0;37667.0;60104.88;843;0.014025483454920799;19.0;21.0;19.0;26.0;42.0;50.0
110;Brooklyn;Flatbush;11226;40.645255999999996;-73.95553000000001;1.29;80729.0;586114.0;34.4;2.8;33386.0;33680.0;104140.41;1413;0.013568220059821159;21.0;13.0;15.0;11.0;45.0;46.0
111;Brooklyn;Southwest Brooklyn;11228;40.617563;-74.01168;1.47;30839.0;909984.0;40.7;3.0;56420.0;53821.0;45333.33;470;0.010367647821150575;31.0;3.0;3.0;16.0;42.0;38.0
112;Brooklyn;Southern Brooklyn;11229;40.599256;-73.94118;2.17;40318.0;632221.0;40.8;2.8;54225.0;49510.0;87490.06;1110;0.012687155546584379;38.0;5.0;7.0;24.0;39.0;41.0
113;Brooklyn;Borough Park;11230;40.622994;-73.96427;1.84;49779.0;796517.0;33.8;2.9;64486.0;51263.0;91593.36;1620;0.01768687162475533;25.0;18.0;5.0;11.0;43.0;36.0
114;Brooklyn;Northwest Brooklyn;11231;40.6788;-74.00254;1.42;26884.0;1276474.0;36.5;2.4;106346.0;89204.0;38175.28;303;0.007937073415047643;33.0;34.0;41.0;46.0;50.0;47.0
115;Brooklyn;Sunset Park;11232;40.655481;-74.00424;1.28;22885.0;730281.0;33.8;3.1;33077.0;34941.0;29292.8;351;0.011982466681232248;10.0;45.0;30.0;18.0;49.0;50.0
116;Brooklyn;Central Brooklyn;11233;40.676938;-73.91858;1.35;56446.0;757046.0;33.5;2.6;33075.0;33946.0;76202.1;844;0.011075810246699238;2.0;5.0;3.0;8.0;36.0;44.0
117;Brooklyn;Canarsie and Flatlands;11234;40.618561;-73.9216;7.55;13144.0;591850.0;40.7;3.1;60692.0;53470.0;99237.2;1670;0.01682836678181166;31.0;7.0;12.0;22.0;41.0;48.0
118;Brooklyn;Southern Brooklyn;11235;40.583803;-73.95019;2.25;36237.0;580042.0;44.7;2.4;52018.0;50685.0;81533.25;1343;0.01647180751411234;37.0;3.0;21.0;41.0;39.0;48.0
119;Brooklyn;Canarsie and Flatlands;11236;40.640527;-73.90361999999999;3.6;28402.0;552153.0;38.2;3.0;39771.0;40853.0;102247.2;1899;0.01857263572987818;22.0;3.0;0.0;7.0;39.0;42.0
120;Brooklyn;Bushwick and Williamsburg;11237;40.703355;-73.91993000000001;0.98;54183.0;669556.0;30.5;3.1;28083.0;29945.0;53099.34;590;0.011111249217033584;42.0;47.0;50.0;34.0;50.0;50.0
121;Brooklyn;Central Brooklyn;11238;40.680145;-73.96257;1.11;50840.0;930901.0;35.9;2.2;65446.0;61615.0;56432.4;547;0.00969301323353251;20.0;45.0;50.0;49.0;50.0;50.0
122;Brooklyn;Canarsie and Flatlands;11239;40.645848;-73.87919000000001;0.57;22072.0;517292.0;48.1;1.9;36456.0;36525.0;12581.039999999999;354;0.02813757845138399;9.0;0.0;0.0;12.0;23.0;7.0
123;Queens;North Queens;11354;40.767969;-73.82496;2.17;26954.0;532248.0;44.6;2.8;35618.0;38322.0;58490.18;714;0.012207177341564002;38.0;7.0;8.0;14.0;44.0;42.0
124;Queens;North Queens;11355;40.749463;-73.81940999999999;1.74;48369.0;599384.0;42.6;3.0;27342.0;29963.0;84162.06;822;0.009766871200633635;38.0;2.0;6.0;17.0;38.0;43.0
